,,,,,,,,Functional ,,,Toll Collection,,Electronic Toll,,,,,,Maximum,Minimum,Average,,,Average,,,,,,
,,HPMS,Financing or,,,Length 1/,,Classification,,NHS,One-Way,Both,Collection System? 4/,,Non-Toll,,Federal,,Passenger,Passenger,Passenger Vehicle,Maximum,Minimum,Truck Cost,,,,,,
State,Name of Facility,Toll ID,Operating Authority,From,To,Miles,Kilometers,2/,Rural/Urban,3/,"(N,S,E,W)",Ways,No,Yes/Kind,Miles,Remarks,Authority Source,Fee Type,Vehicle Fee,Vehicle Fee,Cost per Vehicle-Mile,Truck Fee,Truck Fee,per Vehicle-Mile,,,,,,
Alabama,Foley Beach Express,4,"Alinda Roads, LLC",AL 59 (in Foley),AL 180 (in Orange Beach),8.53,13.73,Minor Arterial,Rural,,,X,,Infrared,5.429,Private - Trucks +$1.00 per axle,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$7.50,$3.50,$0.39,$7.50,$3.50,$0.39,,,,,,
California,Seventeen Mile Drive,17,Pebble Beach Company,Pacific Grove,Carmel,10.80,17.38,local,Urban,X,,,X,,,Private: Length is 17.3 Mi if complete circuit is made via Sloat Rd-Lopez Rd-Sunridge Rd-Constanilla Way-Los Altos Dr & Scenic Dr,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$9.50,$9.50,,,,,,,,,,
California,Route 91 Express Lanes,18,Orange County Transportation Authority,Orange/Riverside County Line,Highway 55,10.00,16.09,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Project developed under Assembly Bill 680 (1989) private partnership law.  Utilizes DBOM.  Facility opened in 1995.Trucks are not allowed to use the express lanes.,None (not a Federal-aid toll facility),Fixed Variable: Rate varies by time of day  based on pre-set schedule,$12.70,$1.45,$0.28,,,,,,,,,
California,"Eastern Trans. Corridor (Routes 261, 241, & 133)",19,CA Department of Trans; Orange County Trans Corridor Agencies,State Route 91,I-5 & State Route 133,24.00,38.62,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Construction completed Feb. 1999.,None (not a Federal-aid toll facility),Fixed Variable: Rate varies by time of day  based on pre-set schedule,$9.68,$0.56,,$31.73,$0.56,,,,,,,
California,Foothill Trans. Corridor (Route 241),20,CA Department of Trans; Trans Corridor Agencies,I-5 San Clemente,State Route 241; Eastern Corridor,28.00,45.06,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Construction completed Jan. 1999.  Toll type also based on axels.  Details for revenue & traffic by truck not readily available.  Avg. cost per mile calculated includes trucks and passenger vehicles.,Section 129 (General Toll Progam),Fixed Variable: Rate varies by time of day  based on pre-set schedule,$9.68,$0.56,,$31.73,$0.56,,,,,,,
California,San Joaquin Hills Trans Corridor (Route 73),21,CA Department of Trans; Trans Corridor Agencies,Newport Beach,San Juan Capistrano,15.00,24.14,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Construction completed Nov 21. 1996.  Toll type also based on axels.  Details for revenue & traffic are not readily avail. though vehicle traffic accounts for 99% of overall traffic.  Calculated cost per mile includes truck revenue.,Section 129 (General Toll Progam),Fixed Variable: Rate varies by time of day  based on pre-set schedule,$7.35,$1.00,,$29.40,$1.00,,,,,,,
California,Route 125,23,"California Transportation Ventures, Inc.",State Route 905,State Route 54,10.00,16.09,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,FASTRAK/Title 21/Tiris,,Project developed under Assembly Bill 680 (1989) private partnership law.  Utilizes DBOM.  Facility opened in 2007.,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$3.85,$0.85,,$7.70,$1.70,,,,,,,
Colorado,Northwest Parkway,25,Northwest Parkway Public Highway Authority,"I-25, MP 228 in North Denver",96th Street (in City of Broomfield),10.00,16.00,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Go Pass AVI and LPT,,"Opened Nov. 24, 2003; On August 30, 2007, the Parkway Authority signed a $603 million, 99 year concession agreement with Portugal based Brisa. Passenger vehicle rate is $3.60 for 10 mile trip.  Each additional axle is $3.60.  No LPT surcharge is assessed if user is sent a bill electronically.  If a bill is sent in the mail, a $0.85 fee per bill is assessed. ",None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$3.60,$3.60,$0.36,No maximum; cost per axle,$1.10 at ramps; $3.60 at mainline,varies per number of axles,,,,,,
Colorado,E-470,26,E-470 Public Highway Authority,I-25 & C-470; Douglas County,I-25 & Northwest Parkway; Adams County,47.00,75.20,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,EXpress Toll and Liecnse Plate Toll (LPT),,LPT user that are Pass Vehicles are assessed a surcharge $3.45 for a total of $16.95 for the entire 47 mile trip.  Each additional axle is $13.50 for ExpressToll and $16.95 per axle for LPT. ,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$13.50,$13.50,$0.29,,,,,,,,,
Colorado,Pikes Peak Toll Road,299,City of Colorado Springs operates under a Term Special Use Permit issued by the US Forest Service,"Town of Cascade, US 24 west of Colorado Springs","Top of Pikes Peak Mountain -14, 110' elevation",19.00,30.58,local,Rural,,W or UP :-),,X,Booth,,"Road (39 miles) is owned by the Forest Service but operated by the City of Colorado Springs, which received a special use permit in the late 1940's to turn it into a toll road.  Toll is fixed $10 per person, $5 for kids, $40 max fee per vehicle.",None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$40.00,$10.00,$0.39,$40.00,$10.00,$0.39,,,,,,
Colorado,US 36 Bus Rapid Transit/HOV/Express Lanes,337,Plenary Roads Denver,I-25,Interlocken,11.00,18.00,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,EXpress Toll and Liecnse Plate Toll (LPT),,"The first 11 miles, from I-25 to Interlocken, will open in July 2015. One express lane/HOV lane/bus rapid transit lane in each direction.  It is a combined operation with I-25 HOV/ Tolled Express Lanes facility.   LPT users will be assessed a surcharge for a max toll and fee of $10.00 and min of $5.00",Section 166 (HOV/HOT lanes),Fixed Variable: Rate varies by time of day  based on pre-set schedule,$2.95,$1.25,,$188.00,$176.00,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,Old Lebanon Road (Rd. 357),Dyke Branch Road (Rd. 331),7.74,12.46,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,E-ZPass,,,Section 129 (General Toll Progam),Fixed Variable: Rate varies by time of day  based on pre-set schedule,$3.00,$1.00,,$8.00,$4.50,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,Dyke Branch Road (Rd. 331),Smyrna Toll (Rd. 150-B),5.85,9.41,Principal Arterial - Other,Rural,X,,X,,E-ZPass,,,Section 129 (General Toll Progam),,,,,,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,Smyrna Toll (Rd. 150-B),North Smyrna Urban Limit,2.72,4.38,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,E-ZPass,,,Section 129 (General Toll Progam),,,,,,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,North Smyrna Urban Limit,C&D Canal Bridge,18.51,29.79,Principal Arterial - Other,Rural,X,,X,,E-ZPass,,,Section 129 (General Toll Progam),Fixed Variable: Rate varies by time of day  based on pre-set schedule,$3.00,$1.00,,$8.00,$4.50,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,C&D Canal Bridge,Tybouts Corner,4.38,7.05,Principal Arterial - Other Freeways and Expressways,Urban,X,,,X,,4.38,Non-toll Section,Section 129 (General Toll Progam),,,,,,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,Tybouts Corner,US 13 North of Tybouts Corner,0.81,1.30,Principal Arterial - Other,Rural,X,,,X,,0.81,Non-toll Section,Section 129 (General Toll Progam),,,,,,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,US 13 North of Tybouts Corner,I-95,4.81,7.74,Principal Arterial - Other,Rural,X,,,X,,4.81,Non-toll Section,Section 129 (General Toll Progam),,,,,,,,,,,,,
Florida,Beachline East (Central Florida Expressway),47,FL Turnpike Enterprise,SR 520,US 1 at Cocoa,15.00,24.14,Principal Arterial - Other Freeways and Expressways,Rural/Urban,X,,X,,"SunPass, EPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$1.25,$0.25,$0.03,$1.50,$0.25,$0.01,,,,,,
Florida,Beachline East (Central Florida Expressway),47,FL Turnpike Enterprise,SR 528,SR 405,6.80,10.94,Principal Arterial - Other Freeways and Expressways,Rural/Urban,,,,X,,6.80,Non-toll Section,Section 129 (General Toll Progam),,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
Florida,Beachline Expressway,48,Orlando-Orange Cnty Expway Auth (& FL Dept of Trans),Boggy Creek Road,SR 520,22.46,36.15,Principal Arterial - Other Freeways and Expressways,Rural/Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$2.50,$1.00,$0.13,$6.50,$1.25,$0.19,,,,,,
Florida,Beachline West,49,FL Turnpike Enterprise,I-4 (SR 400),Boggy Creek Road (SR 528A),8.42,13.55,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$1.00,$0.75,$0.07,$5.00,$1.50,$0.22,,,,,,
Florida,Homestead Extension of Florida Turnpike (HEFT),50,FL Turnpike Enterprise,FL Trnpke MP 47 in Mirahar,US 1 in FL City,47.90,77.09,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$4.75,$3.75,$0.20,$23.75,$7.50,$0.20,,,,,,
Florida,Holland East-West Expressway,53,Orlando-Orange Cnty Expway Auth (& FL Dept of Trans),FL Trnpke (SR 50 West),SR 50 East Colonial Drive,22.36,35.98,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$3.50,$0.25,$0.19,$9.00,$0.25,$0.37,,,,,,
Florida,Sawgrass Expressway (SR 869),54,FL Turnpike Enterprise,FL Trnpke MP 71,I-75 / 595,21.66,34.86,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$2.50,$2.00,$0.09,$12.50,$4.00,$0.27,,,,,,
Florida,Central Florida Greenway (SR-417),58,Orlando-Orange Cnty Expway Auth,Seminole/Orange Cnty Line,International Drive,33.40,53.75,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$4.00,$0.50,$0.14,$10.00,$0.50,$0.27,,,,,,
Florida,Daniel Webster - Western Beltway Part C,59,Orlando-Orange Cnty Expway Auth,US 441 (Orange Blossom Tr),Seidel Rd,22.02,35.44,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$2.50,$0.25,$0.17,$5.50,$0.25,$0.13,,,,,,
Florida,Osceola Parkway,60,"Osceola Cnty, FL",Florida Turnpike,I-4 Interchange,12.40,19.31,Principal Arterial - Other Freeways and Expressways,Urban,    X,,X,,"SunPass, EPass, OPass, LeeWay",2.8,"As of 6/1/2013, the collection methods to produce the vehicle cost-per-mile were not available.  Therefore, in order t calculate the information, the AADT just west of the toll plaza was multiplied by the 2-axle toll-rate of $1.75",None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$1.75,$0.75,$0.06,$8.75,$0.75,$0.84,,,,,,
Florida,Polk Parkway (SR 570),64,FL Turnpike Enterprise,I-4 near Clark Rd extending E to SR 540,N to I-4 near Mt. Olive Rd,24.38,39.24,Principal Arterial - Other Freeways and Expressways,Rural/Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$3.75,$3.00,$0.13,$18.75,$6.00,$0.42,,,,,,
Florida,John Land - Apopka Expressway (SR 414),303,Orlando-Orange Cnty Expway Auth,SR 429 (Western Beltway),US 441 South,5.00,8.05,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$1.00,$0.25,$0.23,$2.50,$0.25,$0.44,,,,,,
Florida ,East-West (Dolphin) Expressway,45,Miami-Dade Expway Auth (MDX),I - 95  &  I - 395,HEFT,13.98,22.49,Principal Arterial - Other Freeways and Expressways,Urban,X,W,,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$1.00,$0.25,$0.05,$5.00,$0.50,$0.15,,,,,,
Florida ,Florida Turnpike - Mainline,46,FL Turnpike Enterprise,Miami,Wildwood,266.00,428.09,Principal Arterial - Other,Rural,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$26.90,$21.10,$0.06,$103.70,$46.10,$0.19,,,,,,
Florida,South Dade (Don Shula) Expressway,51,Miami-Dade Expway Auth (MDX),HEFT,Palmetto Expway,7.16,11.53,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$0.65,$0.25,$0.04,$2.60,$0.50,$0.10,,,,,,
Florida,Lee Roy Selmon Crosstown Expressway,52,Tampa-Hillsborough Cnty Expwy Auth (FL Dept of Trans),Gandy Boulevard,To I-75,14.17,22.80,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",0.6,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$1.75,$0.50,$0.09,$24.50,$1.00,$0.24,,,,,,
Florida,Miami Airport Expressway,55,Miami-Dade Expway Auth (MDX),I-95,Lejeune Rd (SR 953),4.07,6.56,Principal Arterial - Other Freeways and Expressways,Urban,X,W,,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$1.25,$1.00,$0.26,$5.00,$2.00,$1.08,,,,,,
Florida,Veterans Expressway (SR 589),56,FL Turnpike Enterprise,Courtney Campbell Causeway (SR 60),North Dale Mabry,12.22,19.67,Principal Arterial - Other Freeways and Expressways,Rural/Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$2.25,$1.75,$0.12,$11.25,$3.50,$0.35,,,,,,
Florida,Seminole Expressway,57,FL Turnpike Enterprise,Northern Terminus of Eastern Beltway (SR 426-Aloma Ave),I-4 West of US 192,17.45,28.08,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$2.25,$2.00,$0.12,$11.25,$4.00,$0.36,,,,,,
Florida,Southern Connector Extension,61,FL Turnpike Enterprise,Central FL Greeneway,I-4 West of US 192,5.10,8.21,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$1.00,$0.75,$0.10,$5.00,$1.50,$0.32,,,,,,
Florida,Gratigny Parkway,62,Miami-Dade Expway Auth (MDX),Palmetto Expway,Northwest 119 Street at 27th Ave,5.37,8.64,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$0.65,$0.50,$0.08,$2.60,$1.00,$0.24,,,,,,
Florida,Snapper Creek Expressway,315,Miami-Dade Expway Auth (MDX),US1,SR 874,3.01,4.84,Principal Arterial - Other Freeways and Expressways,Urban,X, ,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$0.40,$0.25,$0.08,$1.60,$0.50,$0.11,,,,,,
Florida,Suncoast Parkway (SR 589),63,FL Turnpike Enterprise,Veterans near Van Dyke Rd (Hillsborogh Cnty),US 96 (Hernando Cnty),41.43,66.68,Principal Arterial - Other,Rural,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$3.75,$3.00,$0.08,$18.75,$6.00,$0.22,,,,,,
Florida,Goldenrod Road Extension,301,Orlando-Orange Cnty Expway Auth (& FL Dept of Trans),Orlando International Airport,SR 551,2.70,4.50,Minor Arterial,Urban,,,X,,"SunPass, EPass, OPass, LeeWay",1.4,Road will become non-tolled and given to the city of Orlando when the tolls pay the bonds used for construction.,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$0.50,$0.50,$0.19,$0.50,$0.50,$0.19,,,,,,
